"T","TMean","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","alphat","epsilon","k","nut","nutMean","p","p_rgh","p_rghMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
300,300,3.6751e-06,-9.7038e-08,2.0979,5.8054e-06,-3.9592e-07,2.1077,4.5683e-10,2.7856e-11,0.0026435,-7.5154e-11,1.6081e-07,-5.4369e-07,0.64068,0.0031385,0.13494,0.54458,0.57344,99930,1e+05,1e+05,0,0,0,0,1,7,125,7,200
300,300,3.6803e-06,-9.8183e-08,2.1051,5.81e-06,-4.0155e-07,2.1148,4.5693e-10,2.8747e-11,0.0026091,-7.618e-11,1.6165e-07,-5.3568e-07,0.64908,0.0030955,0.13481,0.55172,0.58112,99929,1e+05,1e+05,0,0,0,0,1,7.1,125,7.1,200
300,300,3.6854e-06,-9.9327e-08,2.1123,5.8146e-06,-4.0717e-07,2.122,4.5703e-10,2.9637e-11,0.0025748,-7.7206e-11,1.6248e-07,-5.2766e-07,0.65747,0.0030525,0.13468,0.55885,0.58881,99928,1e+05,1e+05,0,0,0,0,1,7.2,125,7.2,200
300,300,3.6906e-06,-1.0047e-07,2.1195,5.8193e-06,-4.1279e-07,2.1292,4.5713e-10,3.0527e-11,0.0025405,-7.8231e-11,1.6332e-07,-5.1965e-07,0.66587,0.0030095,0.13455,0.56599,0.59649,99927,1e+05,1e+05,0,0,0,0,1,7.3,125,7.3,200
300,300,3.6957e-06,-1.0162e-07,2.1267,5.8239e-06,-4.1842e-07,2.1364,4.5722e-10,3.1417e-11,0.0025062,-7.9257e-11,1.6415e-07,-5.1163e-07,0.67426,0.0029665,0.13442,0.57312,0.60418,99926,1e+05,1e+05,0,0,0,0,1,7.4,125,7.4,200
300,300,3.7009e-06,-1.0276e-07,2.1339,5.8286e-06,-4.2404e-07,2.1436,4.5732e-10,3.2307e-11,0.0024719,-8.0283e-11,1.6499e-07,-5.0362e-07,0.68266,0.0029235,0.13429,0.58026,0.61187,99925,1e+05,1e+05,0,0,0,0,1,7.5,125,7.5,200
300,300,3.706e-06,-1.0391e-07,2.1411,5.8332e-06,-4.2966e-07,2.1508,4.5742e-10,3.3198e-11,0.0024375,-8.1309e-11,1.6583e-07,-4.956e-07,0.69105,0.0028805,0.13416,0.5874,0.61955,99924,1e+05,1e+05,0,0,0,0,1,7.6,125,7.6,200
300,300,3.7112e-06,-1.0505e-07,2.1483,5.8379e-06,-4.3529e-07,2.1579,4.5752e-10,3.4088e-11,0.0024032,-8.2335e-11,1.6666e-07,-4.8759e-07,0.69945,0.0028375,0.13403,0.59453,0.62724,99923,1e+05,1e+05,0,0,0,0,1,7.7,125,7.7,200
300,300,3.7163e-06,-1.062e-07,2.1555,5.8425e-06,-4.4091e-07,2.1651,4.5762e-10,3.4978e-11,0.0023689,-8.3361e-11,1.675e-07,-4.7958e-07,0.70784,0.0027945,0.1339,0.60167,0.63492,99922,1e+05,1e+05,0,0,0,0,1,7.8,125,7.8,200
300,300,3.7215e-06,-1.0734e-07,2.1627,5.8471e-06,-4.4653e-07,2.1723,4.5772e-10,3.5868e-11,0.0023346,-8.4386e-11,1.6833e-07,-4.7156e-07,0.71624,0.0027515,0.13377,0.6088,0.64261,99921,1e+05,1e+05,0,0,0,0,1,7.9,125,7.9,200
