# Setup from log.interADMFoam
# Benchmark: true
# Qin_: 178.467
# Vgas_: 300
# Vliq_: 3400
# Vfrac_: 0.0882353
# qGas_: 1.92901e-08
# alphaW: 0.11889
# alphaI: 1e-20
# alphaInterface: 0.75

Time,Sac,Sh2,Sch4,Sco2,Gh2,RGh2,Gch4,RGch4,Gco2,RGco2
15.468,0.045826,1.30896e-07,0.0519751,9.02256,1.09844e-05,-1.78086e-10,1.65224,6.45648e-06,13.3516,-0.00061086
15.568,0.0458259,1.30899e-07,0.0519751,9.02256,1.09841e-05,-1.78065e-10,1.65223,6.45716e-06,13.3508,-0.00060955
15.668,0.0458265,1.30904e-07,0.0519757,9.02264,1.09838e-05,-1.78041e-10,1.65222,6.45901e-06,13.35,-0.000608072
15.768,0.0458268,1.30905e-07,0.0519761,9.02266,1.09835e-05,-1.78026e-10,1.65221,6.46029e-06,13.3492,-0.000606711
15.868,0.0458261,1.30904e-07,0.0519758,9.02263,1.09832e-05,-1.78014e-10,1.65221,6.46026e-06,13.3484,-0.000605484
15.968,0.0458268,1.30903e-07,0.0519764,9.02278,1.09829e-05,-1.78003e-10,1.6522,6.46218e-06,13.3476,-0.00060384
16.068,0.0458267,1.30897e-07,0.0519766,9.02283,1.09826e-05,-1.78003e-10,1.65219,6.46295e-06,13.3468,-0.000602438
16.168,0.0458264,1.30889e-07,0.0519766,9.02285,1.09823e-05,-1.7801e-10,1.65219,6.46349e-06,13.346,-0.000601115
16.268,0.0458271,1.30878e-07,0.0519772,9.02296,1.0982e-05,-1.78021e-10,1.65218,6.46542e-06,13.3452,-0.000599564
16.368,0.0458266,1.30864e-07,0.0519771,9.02297,1.09817e-05,-1.7804e-10,1.65217,6.46566e-06,13.3444,-0.000598258
16.468,0.0458262,1.30849e-07,0.051977,9.02296,1.09814e-05,-1.78063e-10,1.65216,6.46595e-06,13.3436,-0.000597001
16.568,0.0458269,1.30836e-07,0.0519776,9.02305,1.09811e-05,-1.78081e-10,1.65216,6.46796e-06,13.3428,-0.000595522
16.668,0.0458274,1.30817e-07,0.0519781,9.0231,1.09808e-05,-1.78109e-10,1.65215,6.46954e-06,13.342,-0.000594123
16.768,0.0458267,1.30797e-07,0.0519779,9.02306,1.09805e-05,-1.78143e-10,1.65214,6.46951e-06,13.3412,-0.000592951
16.868,0.0458277,1.3078e-07,0.0519786,9.0232,1.09802e-05,-1.7817e-10,1.65213,6.47185e-06,13.3404,-0.000591356
16.968,0.045828,1.30762e-07,0.051979,9.0232,1.09799e-05,-1.78198e-10,1.65213,6.47313e-06,13.3397,-0.000590069
17.068,0.0458273,1.30745e-07,0.0519788,9.02317,1.09796e-05,-1.78224e-10,1.65212,6.47313e-06,13.3389,-0.000588875
17.168,0.0458278,1.3073e-07,0.0519792,9.02326,1.09793e-05,-1.78247e-10,1.65211,6.4747e-06,13.3381,-0.0005874
17.268,0.045828,1.30716e-07,0.0519795,9.02332,1.0979e-05,-1.78266e-10,1.6521,6.47592e-06,13.3373,-0.000586022
17.368,0.0458274,1.30701e-07,0.0519793,9.02327,1.09787e-05,-1.78287e-10,1.6521,6.47597e-06,13.3365,-0.000584858
17.468,0.0458288,1.3069e-07,0.0519804,9.02343,1.09784e-05,-1.78299e-10,1.65209,6.47891e-06,13.3357,-0.000583241
17.568,0.0458286,1.30676e-07,0.0519805,9.02347,1.09781e-05,-1.78318e-10,1.65208,6.47965e-06,13.335,-0.000581892
17.668,0.0458283,1.30661e-07,0.0519805,9.02344,1.09778e-05,-1.78339e-10,1.65208,6.48008e-06,13.3342,-0.000580716
17.768,0.0458285,1.30647e-07,0.0519808,9.02352,1.09775e-05,-1.78359e-10,1.65207,6.48135e-06,13.3334,-0.000579277
17.868,0.0458296,1.30635e-07,0.0519817,9.02362,1.09772e-05,-1.78375e-10,1.65206,6.48386e-06,13.3326,-0.000577803
17.968,0.0458262,1.30605e-07,0.0519811,9.0236,1.09769e-05,-1.78431e-10,1.65205,6.48309e-06,13.3319,-0.00057662
18.068,0.0458291,1.30603e-07,0.0519817,9.02371,1.09766e-05,-1.78423e-10,1.65205,6.48499e-06,13.3311,-0.000575113
