# y+ ()           
# Time            	patch             	min               	max               	average           
248               	fixedWalls	9.4254835548e-04	2.1770716387e+00	3.0444174999e-01
250               	movingWall	6.1062995539e-01	2.7582140550e+00	1.0337638829e+00
250               	fixedWalls	2.3544382004e-03	2.1783889445e+00	3.1033620994e-01
252               	movingWall	6.1499504637e-01	2.7582737927e+00	1.0334588862e+00
252               	fixedWalls	8.8198671070e-04	2.1771667169e+00	3.0914337499e-01
254               	movingWall	6.1862758378e-01	2.7582533246e+00	1.0350584559e+00
254               	fixedWalls	6.2492931104e-04	2.1775852891e+00	3.0501360617e-01
256               	movingWall	6.0926081698e-01	2.7582240715e+00	1.0333182980e+00
256               	fixedWalls	1.8494039186e-03	2.1783059955e+00	3.0838073720e-01
258               	movingWall	6.1853295795e-01	2.7582821205e+00	1.0341646732e+00
258               	fixedWalls	5.7033218642e-04	2.1768897040e+00	3.0804811346e-01
260               	movingWall	6.1538640054e-01	2.7582263715e+00	1.0347739108e+00
260               	fixedWalls	2.0046774696e-03	2.1781038909e+00	3.0834200166e-01
262               	movingWall	6.1028229212e-01	2.7582474829e+00	1.0331497727e+00
262               	fixedWalls	2.0438766934e-03	2.1778690730e+00	3.0909517587e-01
264               	movingWall	6.2017184870e-01	2.7582814133e+00	1.0347184975e+00
264               	fixedWalls	7.6303102021e-04	2.1769354849e+00	3.0511702228e-01
266               	movingWall	6.1137559903e-01	2.7582130938e+00	1.0341154888e+00
266               	fixedWalls	2.0175866682e-03	2.1784123871e+00	3.1003667827e-01
268               	movingWall	6.1334755834e-01	2.7582679342e+00	1.0333775519e+00
268               	fixedWalls	1.2341549685e-03	2.1773652499e+00	3.0880191882e-01
270               	movingWall	6.1964782736e-01	2.7582606213e+00	1.0351997837e+00
270               	fixedWalls	1.2475715073e-03	2.1774518380e+00	3.0360763181e-01
272               	movingWall	6.0902209688e-01	2.7582196931e+00	1.0335236148e+00
272               	fixedWalls	2.2671272347e-03	2.1783677550e+00	3.0711167295e-01
274               	movingWall	6.1779242113e-01	2.7582807650e+00	1.0340964486e+00
274               	fixedWalls	1.8108169144e-04	2.1769708161e+00	3.0796135069e-01
276               	movingWall	6.1567872532e-01	2.7582334493e+00	1.0348879373e+00
276               	fixedWalls	2.2965860998e-03	2.1780120442e+00	3.0672083210e-01
278               	movingWall	6.0947974523e-01	2.7582422214e+00	1.0331867199e+00
278               	fixedWalls	2.1471359877e-03	2.1779997677e+00	3.0844986492e-01
280               	movingWall	6.1985376573e-01	2.7582819905e+00	1.0347675956e+00
280               	fixedWalls	7.8363363564e-04	2.1769705616e+00	3.0502360478e-01
282               	movingWall	6.1158999195e-01	2.7582132524e+00	1.0343125312e+00
282               	fixedWalls	2.5094169571e-03	2.1784471149e+00	3.0945942657e-01
284               	movingWall	6.1296000223e-01	2.7582643682e+00	1.0334645579e+00
284               	fixedWalls	1.3687343685e-03	2.1774504662e+00	3.0829430243e-01
286               	movingWall	6.1929843985e-01	2.7582647313e+00	1.0351980610e+00
286               	fixedWalls	8.3703255546e-04	2.1774208967e+00	3.0304832171e-01
288               	movingWall	6.0881770872e-01	2.7582180980e+00	1.0336278905e+00
288               	fixedWalls	1.8658835965e-03	2.1784090248e+00	3.0658044062e-01
290               	movingWall	6.1703671855e-01	2.7582814445e+00	1.0340387923e+00
290               	fixedWalls	5.8604776137e-04	2.1769979893e+00	3.0745833219e-01
292               	movingWall	6.1549977358e-01	2.7582345432e+00	1.0349703417e+00
292               	fixedWalls	1.8960052486e-03	2.1780452002e+00	3.0623284483e-01
294               	movingWall	6.0916737165e-01	2.7582407601e+00	1.0332799143e+00
294               	fixedWalls	2.1102951778e-03	2.1780374085e+00	3.0763157289e-01
296               	movingWall	6.1983844834e-01	2.7582812121e+00	1.0348777799e+00
296               	fixedWalls	7.7715145382e-04	2.1770211286e+00	3.0439105144e-01
298               	movingWall	6.1124266049e-01	2.7582129755e+00	1.0343676758e+00
298               	fixedWalls	2.6556881770e-03	2.1784504319e+00	3.0850916399e-01
300               	movingWall	6.1284397800e-01	2.7582646313e+00	1.0335429848e+00
